Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17
Вітряна віспа,свербіж,шкірний висип,втома,млявість,висока температура,головний біль,легка лихоманка,збільшення лімфовузлів,нездужання,червоні плями на тілі,,,,,,,
Вітряна віспа,свербіж,шкірний висип,втома,млявість,висока температура,головний біль,втрата апетиту,збільшення лімфовузлів,нездужання,червоні плями на тілі,,,,,,,
Вітряна віспа,свербіж,шкірний висип,втома,млявість,висока температура,головний біль,втрата апетиту,легка лихоманка,нездужання,червоні плями на тілі,,,,,,,
Денге,шкірний висип,озноб,біль у суглобах,блювання,втома,висока температура,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,біль у м’язах,червоні плями на тілі,,,,
Денге,шкірний висип,озноб,біль у суглобах,блювання,втома,висока температура,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,нездужання,червоні плями на тілі,,,,
Денге,шкірний висип,озноб,біль у суглобах,блювання,втома,висока температура,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,нездужання,біль у м’язах,,,,
Денге,шкірний висип,озноб,біль у суглобах,блювання,втома,висока температура,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,нездужання,біль у м’язах,червоні плями на тілі,,,
Денге,озноб,біль у суглобах,блювання,втома,висока температура,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,нездужання,біль у м’язах,червоні плями на тілі,,,,
Денге,шкірний висип,біль у суглобах,блювання,втома,висока температура,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,нездужання,біль у м’язах,червоні плями на тілі,,,,
Денге,шкірний висип,озноб,блювання,втома,висока температура,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,нездужання,біль у м’язах,червоні плями на тілі,,,,
Денге,шкірний висип,озноб,біль у суглобах,втома,висока температура,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,нездужання,біль у м’язах,червоні плями на тілі,,,,
Денге,шкірний висип,озноб,біль у суглобах,блювання,висока температура,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,нездужання,біль у м’язах,червоні плями на тілі,,,,
Денге,шкірний висип,озноб,біль у суглобах,блювання,втома,головний біль,нудота,втрата апетиту,біль за очима,біль у спині,нездужання,біль у м’язах,червоні плями на тілі,,,,
Черевний тиф,озноб,блювання,втома,висока температура,нудота,запор,біль у животі,діарея,токсичний вигляд,біль у животі,,,,,,,
Черевний тиф,озноб,блювання,втома,висока температура,головний біль,запор,біль у животі,діарея,токсичний вигляд,біль у животі,,,,,,,
Черевний тиф,озноб,блювання,втома,висока температура,головний біль,нудота,біль у животі,діарея,токсичний вигляд,біль у животі,,,,,,,
Черевний тиф,озноб,блювання,втома,висока температура,головний біль,нудота,запор,діарея,токсичний вигляд,біль у животі,,,,,,,
Черевний тиф,озноб,блювання,втома,висока температура,головний біль,нудота,запор,біль у животі,токсичний вигляд,біль у животі,,,,,,,
Черевний тиф,озноб,блювання,втома,висока температура,головний біль,нудота,запор,біль у животі,діарея,біль у животі,,,,,,,
Черевний тиф,озноб,блювання,втома,висока температура,головний біль,нудота,запор,біль у животі,діарея,токсичний вигляд,,,,,,,
Черевний тиф,озноб,блювання,втома,висока температура,головний біль,нудота,запор,біль у животі,діарея,токсичний вигляд,біль у животі,,,,,,
Черевний тиф,озноб,блювання,втома,висока температура,головний біль,нудота,запор,біль у животі,діарея,токсичний вигляд,біль у животі,,,,,,
Черевний тиф,озноб,втома,висока температура,головний біль,нудота,запор,біль у животі,діарея,токсичний вигляд (тиф),біль у животі,,,,,,,
гепатит А,біль у суглобах,блювання,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,діарея,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,
гепатит А,біль у суглобах,блювання,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,діарея,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,
гепатит А,блювання,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,діарея,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,,
гепатит А,біль у суглобах,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,діарея,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,,
гепатит А,біль у суглобах,блювання,темна сеча,нудота,втрата апетиту,біль у животі,діарея,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,,
гепатит А,біль у суглобах,блювання,жовтувата шкіра,нудота,втрата апетиту,біль у животі,діарея,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,,
гепатит А,біль у суглобах,блювання,жовтувата шкіра,темна сеча,втрата апетиту,біль у животі,діарея,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,,
гепатит А,біль у суглобах,блювання,жовтувата шкіра,темна сеча,нудота,біль у животі,діарея,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,,
гепатит А,біль у суглобах,блювання,жовтувата шкіра,темна сеча,нудота,втрата апетиту,діарея,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,,
гепатит А,біль у суглобах,блювання,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,легка лихоманка,пожовтіння очей,біль у м’язах,,,,,,,
Гепатит В,свербіж,втома,млявість,жовтувата шкіра,темна сеча,втрата апетиту,біль у животі,жовта сеча,жовті очі,нездужання,переливання крові,нестерильні ін’єкції,,,,,
Гепатит В,свербіж,втома,млявість,жовтувата шкіра,темна сеча,втрата апетиту,біль у животі,жовта сеча,жовті очі,нездужання,переливання крові,нестерильні ін’єкції,,,,,
Гепатит В,втома,млявість,жовтувата шкіра,темна сеча,втрата апетиту,біль у животі,жовта сеча,жовті очі,нездужання,переливання крові,нестерильні ін’єкції,,,,,,
Гепатит В,свербіж,млявість,жовтувата шкіра,темна сеча,втрата апетиту,біль у животі,жовта сеча,пожовтіння очей,нездужання,переливання крові,нестерильні ін’єкції,,,,,,
Гепатит В,свербіж,втома,жовтувата шкіра,темна сеча,втрата апетиту,біль у животі,жовта сеча,пожовтіння очей,нездужання,переливання крові,нестерильні ін’єкції,,,,,,
Гепатит В,свербіж,втома,млявість,темна сеча,втрата апетиту,біль у животі,жовта сеча,пожовтіння очей,нездужання,переливання крові,нестерильні ін’єкції,,,,,,
Гепатит В,свербіж,втома,млявість,жовтувата шкіра,втрата апетиту,біль у животі,жовта сеча,пожовтіння очей,нездужання,переливання крові,нестерильні ін’єкції,,,,,,
Гепатит В,свербіж,втома,млявість,жовтувата шкіра,темна сеча,біль у животі,жовта сеча,пожовтіння очей,нездужання,переливання крові,нестерильні ін’єкції,,,,,,
Гепатит В,свербіж,втома,млявість,жовтувата шкіра,темна сеча,втрата апетиту,жовта сеча,пожовтіння очей,нездужання,переливання крові,нестерильні ін’єкції,,,,,,
Гепатит В,свербіж,втома,млявість,жовтувата шкіра,темна сеча,втрата апетиту,біль у животі,пожовтіння очей,нездужання,переливання крові,нестерильні ін’єкції,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,втрата апетиту,сімейний анамнез,,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,втрата апетиту,пожовтіння очей,сімейний анамнез,,,,,,,,,,,
Гепатит С,жовтувата шкіра,нудота,втрата апетиту,пожовтіння очей,сімейний анамнез,,,,,,,,,,,,
Гепатит С,втома,нудота,втрата апетиту,пожовтіння очей,сімейний анамнез,,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,втрата апетиту,пожовтіння очей,сімейний анамнез,,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,пожовтіння очей,сімейний анамнез,,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,втрата апетиту,сімейний анамнез,,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,втрата апетиту,пожовтіння очей,,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,втрата апетиту,пожовтіння очей,сімейний анамнез,,,,,,,,,,,
Гепатит С,втома,жовтувата шкіра,нудота,втрата апетиту,пожовтіння очей,сімейний анамнез,,,,,,,,,,,
Гепатит D,біль у суглобах,блювання,втома,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,
Гепатит D,блювання,втома,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,втома,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,блювання,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,блювання,втома,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,блювання,втома,жовтувата шкіра,нудота,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,блювання,втома,жовтувата шкіра,темна сеча,втрата апетиту,біль у животі,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,блювання,втома,жовтувата шкіра,темна сеча,нудота,біль у животі,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,блювання,втома,жовтувата шкіра,темна сеча,нудота,втрата апетиту,пожовтіння очей,,,,,,,,,
Гепатит D,біль у суглобах,блювання,втома,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,,,,,,,,,
Гепатит Е,біль у суглобах,блювання,втома,висока температура,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,кома,шлункова кровотеча,,,,,
Гепатит Е,біль у суглобах,блювання,втома,висока температура,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,гостра печінкова недостатність,кома,шлункова кровотеча,,,,
Гепатит Е,біль у суглобах,блювання,втома,висока температура,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,гостра печінкова недостатність,кома,шлункова кровотеча,,,,
Гепатит Е,блювання,втома,висока температура,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,гостра печінкова недостатність,кома,шлункова кровотеча,,,,,
Гепатит Е,біль у суглобах,втома,висока температура,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,гостра печінкова недостатність,кома,шлункова кровотеча,,,,,
Гепатит Е,біль у суглобах,блювання,висока температура,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,гостра печінкова недостатність,кома,шлункова кровотеча,,,,,
Гепатит Е,біль у суглобах,блювання,втома,жовтувата шкіра,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,гостра печінкова недостатність,кома,шлункова кровотеча,,,,,
Гепатит Е,біль у суглобах,блювання,втома,висока температура,темна сеча,нудота,втрата апетиту,біль у животі,пожовтіння очей,гостра печінкова недостатність,кома,шлункова кровотеча,,,,,
Гепатит Е,біль у суглобах,блювання,втома,висока температура,жовтувата шкіра,нудота,втрата апетиту,біль у животі,пожовтіння очей,гостра печінкова недостатність,кома,шлункова кровотеча,,,,,
Гепатит Е,біль у суглобах,блювання,втома,висока температура,жовтувата шкіра,темна сеча,втрата апетиту,біль у животі,пожовтіння очей,гостра печінкова недостатність,кома,шлункова кровотеча,,,,,
Алкогольний гепатит,блювання,жовтувата шкіра,біль у животі,здуття живота,здуття живота,вживання алкоголю в анамнезі,перевантаження рідиною,,,,,,,,,,
Алкогольний гепатит,блювання,жовтувата шкіра,біль у животі,здуття живота,здуття живота,вживання алкоголю в анамнезі,перевантаження рідиною,,,,,,,,,,
Алкогольний гепатит,жовтувата шкіра,біль у животі,здуття живота,здуття живота,вживання алкоголю в анамнезі,перевантаження рідиною,,,,,,,,,,,
Алкогольний гепатит,блювання,біль у животі,здуття живота,здуття живота,вживання алкоголю в анамнезі,перевантаження рідиною,,,,,,,,,,,
Алкогольний гепатит,блювання,жовтувата шкіра,здуття живота,здуття живота,вживання алкоголю в анамнезі,перевантаження рідиною,,,,,,,,,,,
Алкогольний гепатит,блювання,жовтувата шкіра,біль у животі,здуття живота,вживання алкоголю в анамнезі,перевантаження рідиною,,,,,,,,,,,
Алкогольний гепатит,блювання,жовтувата шкіра,біль у животі,здуття живота,вживання алкоголю в анамнезі,перевантаження рідиною,,,,,,,,,,,
Алкогольний гепатит,блювання,жовтувата шкіра,біль у животі,здуття живота,здуття живота,перевантаження рідиною,,,,,,,,,,,
Алкогольний гепатит,блювання,жовтувата шкіра,біль у животі,здуття живота,здуття живота,вживання алкоголю в анамнезі,,,,,,,,,,,
Алкогольний гепатит,блювання,жовтувата шкіра,біль у животі,здуття живота,здуття живота,вживання алкоголю в анамнезі,перевантаження рідиною,,,,,,,,,,
Туберкульоз,озноб,блювання,втома,втрата ваги,кашель,висока температура,задишка,пітливість,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,
Туберкульоз,озноб,блювання,втома,втрата ваги,кашель,висока температура,задишка,пітливість,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,
Туберкульоз,блювання,втома,втрата ваги,кашель,висока температура,задишка,пітливість,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,,
Туберкульоз,озноб,втома,втрата ваги,кашель,висока температура,задишка,пітливість,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,,
Туберкульоз,озноб,блювання,втрата ваги,кашель,висока температура,задишка,пітливість,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,,
Туберкульоз,озноб,блювання,втома,кашель,висока температура,задишка,пітливість,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,,
Туберкульоз,озноб,блювання,втома,втрата ваги,висока температура,задишка,пітливість,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,,
Туберкульоз,озноб,блювання,втома,втрата ваги,кашель,задишка,пітливість,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,,
Туберкульоз,озноб,блювання,втома,втрата ваги,кашель,висока температура,пітливість,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,,
Туберкульоз,озноб,блювання,втома,втрата ваги,кашель,висока температура,задишка,втрата апетиту,легка лихоманка,пожовтіння очей,збільшення лімфовузлів,нездужання,мокрота,біль у грудях,кров у мокроті,,
Застуда,безперервне чхання,озноб,втома,кашель,висока температура,головний біль,збільшення лімфовузлів,нездужання,мокротиння,подразнення горла,почервоніння очей,синусовий тиск,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах
Застуда,безперервне чхання,озноб,втома,кашель,висока температура,головний біль,збільшення лімфовузлів,нездужання,мокротиння,подразнення горла,почервоніння очей,синусовий тиск,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах
Застуда,озноб,втома,кашель,висока температура,головний біль,збільшення лімфовузлів,нездужання,мокрота,подразнення горла,почервоніння очей,тиск у носових пазухах,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах,
Застуда,безперервне чхання,втома,кашель,висока температура,головний біль,збільшення лімфовузлів,нездужання,мокрота,подразнення горла,почервоніння очей,тиск у пазухах,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах,
Застуда,безперервне чхання,озноб,кашель,висока температура,головний біль,збільшення лімфовузлів,нездужання,мокрота,подразнення горла,почервоніння очей,тиск у пазухах,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах,
Застуда,безперервне чхання,озноб,втома,висока температура,головний біль,збільшення лімфовузлів,нездужання,мокрота,подразнення горла,почервоніння очей,тиск у пазухах,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах,
Застуда,безперервне чхання,озноб,втома,кашель,головний біль,збільшення лімфовузлів,нездужання,мокрота,подразнення горла,почервоніння очей,синусовий тиск,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах,
Застуда,безперервне чхання,озноб,втома,кашель,висока температура,збільшення лімфовузлів,нездужання,мокрота,подразнення горла,почервоніння очей,тиск у пазухах,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах,
Застуда,безперервне чхання,озноб,втома,кашель,висока температура,головний біль,нездужання,мокрота,подразнення горла,почервоніння очей,синусовий тиск,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах,
Застуда,безперервне чхання,озноб,втома,кашель,висока температура,головний біль,збільшення лімфовузлів,мокрота,подразнення горла,почервоніння очей,синусовий тиск,нежить,закладеність,біль у грудях,втрата нюху,біль у м’язах,
Пневмонія,озноб,втома,кашель,висока температура,задишка,пітливість,нездужання,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,,
Пневмонія,озноб,втома,кашель,висока температура,задишка,пітливість,нездужання,мокрота,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,
Пневмонія,озноб,втома,кашель,висока температура,задишка,пітливість,нездужання,мокрота,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,
Пневмонія,втома,кашель,висока температура,задишка,пітливість,нездужання,мокрота,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,,
Пневмонія,озноб,кашель,висока температура,задишка,пітливість,нездужання,мокрота,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,,
Пневмонія,озноб,втома,висока температура,задишка,пітливість,нездужання,мокрота,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,,
Пневмонія,озноб,втома,кашель,задишка,пітливість,нездужання,мокрота,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,,
Пневмонія,озноб,втома,кашель,висока температура,пітливість,нездужання,мокрота,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,,
Пневмонія,озноб,втома,кашель,висока температура,задишка,нездужання,мокрота,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,,
Пневмонія,озноб,втома,кашель,висока температура,задишка,пітливість,мокрота,біль у грудях,прискорене серцебиття,іржаве мокротиння,,,,,,,
Диморфний геморой,запор,біль під час випорожнення,біль у анальній ділянці,кров у калі,подразнення заднього проходу,,,,,,,,,,,,
Диморфний геморой,запор,біль під час випорожнення,біль у анальній ділянці,кров у калі,подразнення заднього проходу,,,,,,,,,,,,
Диморфний геморой,запор,біль під час випорожнення,біль у анальній ділянці,кров у калі,подразнення заднього проходу,,,,,,,,,,,,
Диморфний геморой,біль під час випорожнення,біль у анальній ділянці,кров у калі,подразнення заднього проходу,,,,,,,,,,,,,
Диморфний геморой,запор,біль в анальній ділянці,кров у калі,подразнення заднього проходу,,,,,,,,,,,,,
Диморфний геморой,запор,біль під час випорожнення,кров у калі,подразнення заднього проходу,,,,,,,,,,,,,
Диморфний геморой,запор,біль під час випорожнення,біль у анальній ділянці,подразнення заднього проходу,,,,,,,,,,,,,
Диморфний геморой,запор,біль під час випорожнення,біль у анальній ділянці,кров у калі,,,,,,,,,,,,,
Диморфний геморой,запор,біль під час випорожнення,біль у анальній ділянці,кров у калі,подразнення заднього проходу,,,,,,,,,,,,
Диморфний геморой,запор,біль під час випорожнення,біль у анальній ділянці,кров у калі,подразнення заднього проходу,,,,,,,,,,,,
Серцевий напад,блювання,задишка,пітливість,біль у грудях,,,,,,,,,,,,,
Серцевий напад,блювання,задишка,пітливість,біль у грудях,,,,,,,,,,,,,
Серцевий напад,задишка,пітливість,біль у грудях,,,,,,,,,,,,,,
Серцевий напад,блювання,пітливість,біль у грудях,,,,,,,,,,,,,,
Серцевий напад,блювання,задишка,біль у грудях,,,,,,,,,,,,,,
Серцевий напад,блювання,задишка,пітливість,,,,,,,,,,,,,,
Серцевий напад,блювання,задишка,пітливість,біль у грудях,,,,,,,,,,,,,
Серцевий напад,задишка,пітливість,біль у грудях,,,,,,,,,,,,,,
Серцевий напад,блювання,пітливість,біль у грудях,,,,,,,,,,,,,,
Серцевий напад,блювання,задишка,біль у грудях,,,,,,,,,,,,,,
Варикозне розширення вен,втома,судоми,синці,ожиріння,опухлі ноги,роздуті кровоносні судини,виступаючі вени на литках,,,,,,,,,,
Варикозне розширення вен,втома,судоми,синці,ожиріння,опухлі ноги,роздуті кровоносні судини,виступаючі вени на литках,,,,,,,,,,
Варикозне розширення вен,судоми,синці,ожиріння,набряки ніг,набряклі кровоносні судини,виступаючі вени на литках,,,,,,,,,,,
Варикозне розширення вен,втома,синці,ожиріння,набряки ніг,набряклі кровоносні судини,виступаючі вени на литках,,,,,,,,,,,
Варикозне розширення вен,втома,судоми,ожиріння,набряки ніг,набряклі кровоносні судини,виступаючі вени на литках,,,,,,,,,,,
Варикозне розширення вен,втома,судоми,синці,набряки ніг,набряклі кровоносні судини,виступаючі вени на литках,,,,,,,,,,,
Варикозне розширення вен,втома,судоми,синці,ожиріння,роздуті кровоносні судини,виступаючі вени на литках,,,,,,,,,,,
Варикозне розширення вен,втома,судоми,синці,ожиріння,набряки ніг,виступаючі вени на литках,,,,,,,,,,,
Варикозне розширення вен,втома,судоми,синці,ожиріння,набряки ніг,набряки кровоносних судин,,,,,,,,,,,
Варикозне розширення вен,втома,судоми,синці,ожиріння,набряки ніг,виступаючі вени на литках,,,,,,,,,,,
Гіпотиреоз,втома,збільшення ваги,холодні руки та ноги,перепади настрою,млявість,запаморочення,одутле обличчя та очі,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,
Гіпотиреоз,втома,збільшення ваги,холодні руки та ноги,перепади настрою,млявість,запаморочення,одутле обличчя та очі,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,
Гіпотиреоз,збільшення ваги,холодні руки та ноги,перепади настрою,млявість,запаморочення,одутле обличчя та очі,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,,
Гіпотиреоз,збільшення ваги,холодні руки та ноги,перепади настрою,млявість,запаморочення,одутле обличчя та очі,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,,
Гіпотиреоз,втома,холодні руки та ноги,перепади настрою,млявість,запаморочення,одутле обличчя та очі,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,,
Гіпотиреоз,втома,збільшення ваги,перепади настрою,млявість,запаморочення,одутле обличчя та очі,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,,
Гіпотиреоз,втома,збільшення ваги,холодні руки та ноги,млявість,запаморочення,одутле обличчя та очі,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,,
Гіпотиреоз,втома,збільшення ваги,холодні руки та ноги,перепади настрою,запаморочення,одутле обличчя та очі,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,,
Гіпотиреоз,втома,збільшення ваги,холодні руки та ноги,перепади настрою,млявість,одутле обличчя та очі,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,,
Гіпотиреоз,втома,збільшення ваги,холодні руки та ноги,перепади настрою,млявість,запаморочення,збільшення щитовидної залози,ламкість нігтів,набряки кінцівок,депресія,дратівливість,ненормальна менструація,,,,,
Гіпертиреоз,втома,перепади настрою,втрата ваги,неспокій,пітливість,діарея,прискорене серцебиття,надмірний голод,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,
Гіпертиреоз,втома,перепади настрою,втрата ваги,неспокій,пітливість,діарея,прискорене серцебиття,надмірний голод,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,
Гіпертиреоз,перепади настрою,втрата ваги,неспокій,пітливість,діарея,прискорене серцебиття,надмірний голод,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,,
Гіпертиреоз,втома,втрата ваги,неспокій,пітливість,діарея,прискорене серцебиття,надмірний голод,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,,
Гіпертиреоз,втома,перепади настрою,неспокій,пітливість,діарея,прискорене серцебиття,надмірний голод,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,,
Гіпертиреоз,втома,перепади настрою,втрата ваги,пітливість,діарея,прискорене серцебиття,надмірний голод,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,,
Гіпертиреоз,втома,перепади настрою,втрата ваги,неспокій,діарея,прискорене серцебиття,надмірний голод,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,,
Гіпертиреоз,втома,перепади настрою,втрата ваги,неспокій,пітливість,прискорене серцебиття,надмірний голод,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,,
Гіпертиреоз,втома,перепади настрою,втрата ваги,неспокій,пітливість,діарея,надмірний голод,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,,
Гіпертиреоз,втома,перепади настрою,втрата ваги,неспокій,пітливість,діарея,прискорене серцебиття,м’язова слабкість,дратівливість,ненормальна менструація,,,,,,,
Гіпоглікемія,блювання,втома,занепокоєння,пітливість,головний біль,нудота,затуманення та спотворення зору,надмірний голод,невиразна мова,дратівливість,серцебиття,,,,,,
Гіпоглікемія,блювання,втома,занепокоєння,пітливість,головний біль,нудота,затуманення та спотворення зору,надмірний голод,сухість і поколювання губ,невиразна мова,дратівливість,серцебиття,,,,,
